post_number,suggested_date,title,status,post_copy
1,2026-07-12,Launch,ready_for_review,"I have created a free independent Australian navigation website for families and carers trying to work out where to start when an eating disorder may need medical assessment or coordinated care.

It includes urgent safety prompts, BMI risk context, a government BMI calculator link, questions to ask before discharge, and coordinator/contact pathways where public information is available.

It is not medical advice and it is not an official NEDC, PHN or hospital site.

Website:
https://eating-disorder-care-navigator.vercel.app"
2,2026-07-13,Medical Risk,ready_for_review,"An eating disorder can become medically unsafe before a person has had the ""right"" referral or the ""right"" appointment.

If someone is very underweight, losing weight quickly, fainting, unable to eat or drink safely, confused, weak, dehydrated, or physically deteriorating, urgent medical assessment may be needed.

The navigator gives plain-English prompts for what to ask at hospital or with a GP.

https://eating-disorder-care-navigator.vercel.app"
3,2026-07-14,BMI Context,ready_for_review,"BMI does not decide everything, but very low BMI should be taken seriously.

The navigator includes cautious wording around BMI 16 and below, and especially BMI 14 and below, because medical assessment or stabilisation may need to come before private therapy or ordinary referral pathways.

This is not medical advice. If there is immediate danger, call 000 or attend Emergency.

https://eating-disorder-care-navigator.vercel.app"
4,2026-07-15,Hospital Discharge,ready_for_review,"If someone with an eating disorder is sent home from hospital, families can ask:

- Is the eating disorder medical risk assessed, not just today's injury or issue?
- What should we do tonight?
- What symptoms mean return to Emergency?
- Who is responsible for follow-up?
- Is there a written plan?

The navigator includes a simple checklist.

https://eating-disorder-care-navigator.vercel.app"
5,2026-07-16,Coordinated Care,ready_for_review,"Families often get told to see a GP, therapist, dietitian, clinic, hospital, or mental health service, but no one explains who is coordinating it.

The navigator helps people look for the right care pathway and coordinator/contact point where public information is available.

https://eating-disorder-care-navigator.vercel.app"
6,2026-07-17,For Clinicians,ready_for_review,"For GPs, hospital staff, social workers and clinicians:

The navigator includes professional prompts for eating disorder medical risk, discharge planning, handover and care coordination.

Feedback or corrections from services and coordinators are welcome.

https://eating-disorder-care-navigator.vercel.app"
7,2026-07-18,Words Families Can Use,ready_for_review,"Sometimes it helps to have the words ready.

You can say:

""I am worried this eating disorder is becoming medically unsafe. Please assess the eating disorder medical risk, not just the immediate problem we came in with.""

More prompts are on the navigator.

https://eating-disorder-care-navigator.vercel.app"
8,2026-07-19,Return To Emergency,ready_for_review,"If someone has been discharged and then becomes weaker, faint, confused, unable to eat or drink, medically unstable, at risk of self-harm, or otherwise unsafe, do not wait for an ordinary appointment.

Call 000 or return to Emergency if there is immediate danger.

The navigator includes practical questions to ask before and after discharge.

https://eating-disorder-care-navigator.vercel.app"
9,2026-07-20,For Practice Teams,ready_for_review,"GP practices are often the first place families turn when eating disorder care becomes confusing.

The navigator can be kept as a simple link for patients, carers and staff who need plain-English questions about medical safety, hospital escalation and care coordination.

It is not medical advice and does not replace clinical judgement.

https://eating-disorder-care-navigator.vercel.app"
10,2026-07-21,What To Ask The GP,ready_for_review,"Questions families can ask the GP:

- Is this medically safe?
- Do we need bloods, ECG or hospital assessment?
- Who is coordinating the eating disorder care?
- What symptoms mean we should go to Emergency?
- What is the next appointment and who is responsible?

More prompts:
https://eating-disorder-care-navigator.vercel.app"
11,2026-07-22,For Carers,ready_for_review,"Carers often become the people trying to connect the GP, hospital, mental health team, dietitian, psychologist and specialist service.

The navigator is built to help carers ask clearer questions and find the next responsible service where public pathway information is available.

https://eating-disorder-care-navigator.vercel.app"
12,2026-07-23,Service Corrections Welcome,ready_for_review,"If you work in eating disorder care, hospital discharge, primary care, mental health, youth health or care coordination, corrections are welcome.

The site links to public pathway information where available and should be kept accurate.

Please send corrections or updated contact information.

https://eating-disorder-care-navigator.vercel.app"
13,2026-07-24,Share Request,ready_for_review,"If you know a family, carer, GP, clinician, school counsellor or support worker who may need a plain-English eating disorder care pathway resource, please share this.

The site is free, independent and practical.

It is not medical advice and not an official government, PHN, NEDC or hospital website.

https://eating-disorder-care-navigator.vercel.app"
14,2026-07-25,Why This Exists,ready_for_review,"This navigator exists because families can be left trying to work out whether they need a GP, a psychologist, a dietitian, a hospital, a specialist clinic, a coordinator, or all of them.

The aim is simple: clearer questions, clearer next steps, and fewer people left with disconnected referrals and no plan.

https://eating-disorder-care-navigator.vercel.app"
